NU_ANO_CENSO,CO_IES,TP_CATEGORIA_ADMINISTRATIVA,TP_ORGANIZACAO_ACADEMICA,CO_DOCENTE_IES,ID_DOCENTE,TP_SITUACAO,TP_ESCOLARIDADE,TP_REGIME_TRABALHO,TP_SEXO,NU_ANO_NASCIMENTO,NU_MES_NASCIMENTO,NU_DIA_NASCIMENTO,NU_IDADE,TP_COR_RACA,CO_PAIS_ORIGEM,TP_NACIONALIDADE,CO_UF_NASCIMENTO,CO_MUNICIPIO_NASCIMENTO,IN_DEFICIENCIA,IN_DEFICIENCIA_CEGUEIRA,IN_DEFICIENCIA_BAIXA_VISAO,IN_DEFICIENCIA_SURDEZ,IN_DEFICIENCIA_AUDITIVA,IN_DEFICIENCIA_FISICA,IN_DEFICIENCIA_SURDOCEGUEIRA,IN_DEFICIENCIA_MULTIPLA,IN_DEFICIENCIA_INTELECTUAL,IN_ATUACAO_EAD,IN_ATUACAO_EXTENSAO,IN_ATUACAO_GESTAO,IN_ATUACAO_GRAD_PRESENCIAL,IN_ATUACAO_POS_EAD,IN_ATUACAO_POS_PRESENCIAL,IN_ATUACAO_SEQUENCIAL,IN_ATUACAO_PESQUISA,IN_BOLSA_PESQUISA,IN_SUBSTITUTO,IN_EXERCICIO_DATA_REFERENCIA,IN_VISITANTE,TP_VISITANTE_IFES_VINCULO
2015,10323,4,3,875876,A0BC2DD82CDC174E4779DED86ED7ACB7,1,3,4.0,2,1991,8,6,24,0,10,1,35.0,3550308.0,0,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,
2015,838,5,3,210430,8F77251C3BCD09A418F9913C0563D853,1,5,4.0,1,1975,11,12,40,3,10,1,23.0,2304400.0,0,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,
2015,15236,4,3,348775,532CCE622CCC952253F64A04C932727B,1,3,3.0,1,1962,2,24,53,1,10,1,43.0,4314407.0,0,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,
2015,15236,4,3,348777,8BC9813BD252C2ED02BA83A14987605D,1,3,4.0,2,1982,11,19,33,1,10,1,43.0,4314902.0,0,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,
2015,15236,4,3,348776,7EC790656E1811CF5C374BF4E12603CC,1,3,4.0,1,1984,4,30,31,1,10,1,43.0,4323002.0,0,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,
2015,3657,4,3,313458,A2CC3F8F7E46DE399208881BA18B7C8F,1,3,1.0,2,1976,10,23,39,0,10,1,31.0,3143302.0,0,,,,,,,,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,
2015,3657,4,3,313457,8F23BF964639591768C699736FC3D43D,1,3,3.0,2,1987,1,2,28,1,10,1,31.0,3143302.0,0,,,,,,,,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,
2015,4173,5,3,325115,83CAB5D8E7FE8474544E08DE118A35A7,1,3,4.0,2,1983,9,28,32,0,10,1,31.0,3148004.0,0,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,
2015,3657,4,3,313440,741B4E13662298E001507943F1FB1C42,1,4,3.0,1,1975,1,30,40,3,10,1,31.0,3143302.0,0,,,,,,,,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,
2015,4173,5,3,880614,EA065EFFBC85C5E2711872E570D351C0,1,3,3.0,2,1975,9,18,40,0,10,1,,,0,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,
2015,15236,4,3,427662,8EE1A09A1DE7EE2266BC2222204DB417,1,4,4.0,1,1983,12,4,32,1,10,1,43.0,4314902.0,0,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,
2015,4173,5,3,325120,014A6B2B798A997570C26E85F66170FA,1,3,4.0,2,1966,7,19,49,0,10,1,,,0,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,
2015,15236,4,3,348783,594E769E746BF87B7DF6E0925D71C61F,1,4,4.0,2,1984,11,13,31,1,10,1,43.0,4302808.0,0,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,
2015,10323,4,3,875862,04BF13920EBD7A3A9BB61B6287AC5830,1,3,4.0,2,1973,11,11,42,3,10,1,35.0,3548807.0,0,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,
2015,3657,4,3,313437,D2D85D3789DCDAA1400AB90D86EA36AC,1,3,4.0,1,1982,3,26,33,3,10,1,31.0,3143302.0,0,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,
2015,1330,4,3,236904,CC0CCF0E35A67B9221B9923A9DE296EE,1,4,4.0,2,1974,9,9,41,1,10,1,31.0,3171303.0,0,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,
2015,3657,4,3,313442,3CFF5B944ED0C981E4411F4FDC07DBE6,1,4,2.0,2,1956,7,5,59,1,10,1,31.0,3143302.0,0,,,,,,,,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,
2015,4043,5,3,357431,B9FEE54FC0A761404781E15C38B5FFF1,1,4,4.0,1,1965,3,25,50,1,10,1,31.0,3170206.0,0,,,,,,,,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,
2015,15236,4,3,429409,8FC83E3151AA6C6D9B376F83E4C4E8EE,2,4,,1,1981,5,20,34,1,10,1,43.0,4314902.0,0,,,,,,,,,,,,,,,,,,,,,
2015,4173,5,3,325112,1ABE78CDA3A69BAC76AEF6F64F8D1113,1,4,3.0,2,1980,4,28,35,1,10,1,53.0,5300108.0,0,,,,,,,,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,
2015,5017,2,3,335139,6EF29070D77F06CB606F2C7DAD6F551F,1,4,3.0,2,1973,2,17,42,1,10,1,33.0,3303906.0,0,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,
2015,5017,2,3,335126,C8C798B031388CA5AB484D7DEEB38002,1,4,2.0,2,1962,6,25,53,1,10,1,33.0,3303302.0,0,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,
2015,5017,2,3,875183,68C00C01DCDB0778E48CE96D8E7DA0DF,1,4,2.0,1,1951,7,13,64,1,10,1,,,0,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,
2015,5017,2,3,335132,9BA98FE6EA9866AEE3E33600ADFE1C63,1,4,2.0,2,1975,1,31,40,1,10,1,,,0,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,
2015,4173,5,3,325106,922F30E681C21F96A0BA8D9A022A1C20,1,4,4.0,2,1980,12,13,35,0,10,1,,,0,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
2015,5016,2,3,335103,A8B5166A4FEF647A5F8F7711B37ACBB1,1,4,2.0,2,1978,3,1,37,1,10,1,33.0,3303302.0,0,,,,,,,,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,
2015,10323,4,3,875853,4807BC655D643CF02C140E9A6855D119,1,5,4.0,2,1978,6,21,37,1,10,1,42.0,4206900.0,0,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,
2015,10323,4,3,875856,23FAAA7DEE5125CF3034AB5814C37B76,1,3,3.0,2,1983,8,8,32,3,10,1,35.0,3550308.0,0,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,
2015,10323,4,3,875858,BE9A25FBA25370480816A4AE83668FC5,1,4,3.0,1,1962,6,9,53,4,10,1,35.0,3550308.0,0,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,
2015,10323,4,3,875868,5E98BE8037CBFE2C44E7A9CF43B21019,1,4,3.0,2,1969,8,9,46,1,10,1,35.0,3550308.0,0,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,
2015,10323,4,3,875872,D7F49A1913B7510D6337B1BB5C3A6FAF,1,3,4.0,2,1983,10,19,32,2,10,1,35.0,3550308.0,0,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,
2015,4173,5,3,325092,D7D5BE9B687A3D8D99372ED99E1C9886,1,4,4.0,2,1968,9,19,47,3,10,1,33.0,3304557.0,0,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
2015,4173,5,3,595225,1717EC33BADC9F85FCEFC0F727513FC3,1,3,4.0,2,1986,8,25,29,1,10,1,,,0,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,
2015,4173,5,3,595222,2539147ED22D75CFB35C17A8932EF2C9,1,3,4.0,2,1980,12,16,35,1,10,1,,,0,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,
2015,4173,5,3,325110,47F9EFDC6F21E97D5DD976D8C8486E66,1,4,4.0,2,1960,5,26,55,1,10,1,,,0,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
2015,5016,2,3,335110,D749EE0BBD7B268CE2CA6CC9101E74D2,1,4,2.0,2,1950,10,12,65,1,10,1,33.0,3304557.0,0,,,,,,,,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,
2015,15236,4,3,426832,4FB381E0A8F9243A1CBC5F0A4F426AB9,1,3,4.0,2,1987,6,30,28,1,10,1,43.0,4314902.0,0,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,
2015,4173,5,3,325114,DE2B4FC57CBDDB5F6AE37944E51970F2,1,3,4.0,2,1987,10,14,28,0,10,1,,,0,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
